"DATASET","NLME_RESULT_ID","NLME_CURVE_ID","CELL_LINE_NAME","SANGER_MODEL_ID","CANCER_TYPE","DRUG_ID","DRUG_NAME","PUTATIVE_TARGET","PATHWAY_NAME","MIN_CONC","MAX_CONC","LN_IC50","AUC","RMSE","Z_SCORE","MAPK_flag","MAPK_status"
"GDSC2",343,15954747,"NCI-H1693","SIDM00742","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.783167,0.935996,0.036608,1.018789,NA,"Non-MAPK"
"GDSC2",343,15955096,"NCI-H1838","SIDM00769","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,5.437327,0.978986,0.034553,2.094756,NA,"Non-MAPK"
"GDSC2",343,15955379,"NCI-H2085","SIDM00709","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.627678,0.842955,0.04243,-1.033735,NA,"Non-MAPK"
"GDSC2",343,15955656,"NCI-H2170","SIDM00716","Squamous Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.823188,0.982462,0.061838,1.04482,NA,"Non-MAPK"
"GDSC2",343,15955937,"NCI-H2228","SIDM00729","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.86184,0.956652,0.075703,1.069962,NA,"Non-MAPK"
"GDSC2",343,15956107,"NCI-H2342","SIDM00727","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.080935,0.979042,0.019855,1.212475,"MAPK","MAPK"
"GDSC2",343,15956275,"NCI-H2347","SIDM00726","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.8388,0.958308,0.018683,1.705437,"MAPK","MAPK"
"GDSC2",343,15956556,"NCI-H2405","SIDM00724","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.157799,0.810436,0.03707,-0.688912,"MAPK","MAPK"
"GDSC2",343,15956837,"NCI-H661","SIDM01122","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.776448,0.97934,0.031396,1.014418,"MAPK","MAPK"
"GDSC2",343,15957118,"COR-L311","SIDM00509","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.418817,0.988166,0.083321,0.781793,"MAPK","MAPK"
"GDSC2",343,15957401,"DMS-114","SIDM00865","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,-0.275199,0.785434,0.10657,-1.621022,NA,"Non-MAPK"
"GDSC2",343,15957681,"DMS-273","SIDM00522","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.549586,0.961218,0.069426,0.216392,"MAPK","MAPK"
"GDSC2",343,15957962,"NCI-H1048","SIDM00654","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.28906,0.981259,0.016622,0.697391,"MAPK","MAPK"
"GDSC2",343,15958243,"NCI-H1092","SIDM00653","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.366563,0.969141,0.070823,0.747803,"MAPK","MAPK"
"GDSC2",343,15959037,"NCI-H2029","SIDM00735","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.548824,0.970465,0.030033,0.215896,NA,"Non-MAPK"
"GDSC2",343,15959298,"NCI-H209","SIDM00706","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.806881,0.9525,0.038782,-0.266709,NA,"Non-MAPK"
"GDSC2",343,15959579,"NCI-H2141","SIDM00699","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.12565,0.96403,0.041282,0.591099,NA,"Non-MAPK"
"GDSC2",343,15960291,"NCI-H345","SIDM00719","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.895442,0.980418,0.086232,1.74228,"MAPK","MAPK"
"GDSC2",343,15960553,"NCI-H446","SIDM00965","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.552315,0.966633,0.150439,0.218167,NA,"Non-MAPK"
"GDSC2",343,15960832,"NCI-H526","SIDM01128","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.452008,0.991763,0.038286,0.803382,NA,"Non-MAPK"
"GDSC2",343,15961002,"NCI-H64","SIDM01126","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.048367,0.961813,0.073438,0.54083,"MAPK","MAPK"
"GDSC2",343,15961170,"NCI-H69","SIDM01121","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.085362,0.985344,0.079334,1.215355,NA,"Non-MAPK"
"GDSC2",343,15961452,"NCI-H82","SIDM01131","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.249196,0.971264,0.022651,0.020999,"MAPK","MAPK"
"GDSC2",343,15961732,"NCI-H2052","SIDM00713","Mesothelioma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.962264,0.973581,0.028386,1.135284,NA,"Non-MAPK"
"GDSC2",343,15962012,"SK-N-DZ","SIDM01100","Neuroblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.057827,0.981698,0.027748,0.546983,"MAPK","MAPK"
"GDSC2",343,15962183,"SK-N-FI","SIDM01099","Neuroblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.122436,0.891687,0.069958,-0.711915,"MAPK","MAPK"
"GDSC2",343,15962463,"VA-ES-BJ","SIDM01179","Other Sarcomas",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,4.785386,0.981419,0.033612,1.670694,NA,"Non-MAPK"
"GDSC2",343,15962746,"VMRC-LCD","SIDM00320","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.663089,0.971411,0.054087,0.940683,"MAPK","MAPK"
"GDSC2",343,15962977,"LU-139","SIDM00293","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.345725,0.955098,0.038384,0.083788,"MAPK","MAPK"
"GDSC2",343,15963257,"SBC-5","SIDM00368","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,3.274685,0.987233,0.039327,0.688041,"MAPK","MAPK"
"GDSC2",343,15963715,"LU-135","SIDM00294","Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.167738,0.956742,0.067062,-0.031986,"MAPK","MAPK"
"GDSC2",343,15963886,"SK-N-SH","SIDM01098","Neuroblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.401678,0.945416,0.057828,0.120184,NA,"Non-MAPK"
"GDSC2",343,15964346,"NCI-H2122","SIDM00702","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,0.762371,0.895066,0.026142,-0.946123,"MAPK","MAPK"
"GDSC2",343,15964806,"NCI-H650","SIDM01124","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.425095,0.964639,0.102142,0.135415,"MAPK","MAPK"
"GDSC2",343,15965266,"NCI-H929","SIDM01148","Plasma Cell Myeloma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,-0.156205,0.825141,0.116083,-1.543621,"MAPK","MAPK"
"GDSC2",343,15965548,"SK-N-AS","SIDM01101","Neuroblastoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,1.635883,0.904049,0.048132,-0.377937,NA,"Non-MAPK"
"GDSC2",343,15965830,"NCI-H1299","SIDM00649","Non-Small Cell Lung Carcinoma",2047,"Ulixertinib","ERK1, ERK2","ERK MAPK signaling",0.002001,2,2.367777,0.936573,0.028443,0.098132,NA,"Non-MAPK"
